,회사명,종목코드,업종,상장일,최근일 거래량
272,시그넷이브이,260870,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2017-08-30,10208.0
273,에듀파트너,208890,교육지원 서비스업,2014-12-18,504.0
274,에스알바이오텍,270210,기타 화학제품 제조업,2017-06-15,204.0
275,에스엘에스바이오,246250,기타 과학기술 서비스업,2016-06-29,1552.0
276,에프앤가이드,064850,금융 지원 서비스업,2013-07-01,5814.0
277,엠앤씨생명과학,225860,기타 화학제품 제조업,2017-04-25,72.0
278,옐로페이,179720,소프트웨어 개발 및 공급업,2013-07-01,12.0
279,유투바이오,221800,기타 과학기술 서비스업,2015-06-29,1360.0
280,이도바이오,336040,자연과학 및 공학 연구개발업,2019-12-02,26.0
281,인카금융서비스,211050,보험 및 연금관련 서비스업,2015-11-16,12.0
282,전우정밀,120780,자동차 신품 부품 제조업,2016-12-23,0.0
283,지놈앤컴퍼니,314130,기초 의약물질 및 생물학적 제제 제조업,2018-12-26,2086.0
284,진코스텍,250030,기타 화학제품 제조업,2019-11-29,2584.0
285,큐엠씨,136660,특수 목적용 기계 제조업,2014-07-01,0.0
286,티티씨디펜스,309900,"그외 기타 전문, 과학 및 기술 서비스업",2019-06-27,0.0
287,파워풀엑스,266870,생활용품 도매업,2017-04-24,1100.0
288,AK홀딩스,006840,기타 금융업,1999-08-11,89356.0
289,BGF리테일,282330,종합 소매업,2017-12-08,53561.0
290,CJ CGV,079160,"영화, 비디오물, 방송프로그램 제작 및 배급업",2004-12-24,309901.0
291,CJ대한통운,000120,도로 화물 운송업,1956-07-02,53365.0
292,GKL,114090,유원지 및 기타 오락관련 서비스업,2009-11-19,847661.0
293,GS건설,006360,건물 건설업,1981-08-03,688008.0
294,HDC현대EP,089470,기타 화학제품 제조업,2006-09-25,83950.0
295,JW홀딩스,096760,기타 금융업,2007-07-31,519767.0
296,KB금융,105560,기타 금융업,2008-10-10,3697408.0
297,SG충방,001380,자동차 신품 부품 제조업,1976-06-29,371076.0
298,SKC,011790,기타 화학제품 제조업,1997-07-18,673607.0
299,금강공업,014280,1차 철강 제조업,1988-09-10,243630.0
300,금호산업,002990,건물 건설업,1976-06-26,298205.0
301,금호전기,001210,전구 및 조명장치 제조업,1973-11-15,155221.0
302,기업은행,024110,은행 및 저축기관,2003-12-24,3455088.0
303,남선알미늄,008350,1차 비철금속 제조업,1978-05-22,8323976.0
304,남성,004270,기타 전문 도매업,1989-11-14,1152765.0
305,대구백화점,006370,종합 소매업,1988-10-10,32410.0
306,대우건설,047040,건물 건설업,2001-03-23,1381539.0
307,대원제약,003220,의약품 제조업,1999-12-15,919146.0
308,대한방직,001070,직물직조 및 직물제품 제조업,1973-12-28,9318.0
309,대한제강,084010,1차 철강 제조업,2005-10-31,171493.0
310,대한제당,001790,"곡물가공품, 전분 및 전분제품 제조업",1968-12-27,37815.0
311,대현,016090,봉제의복 제조업,1990-09-20,204691.0
312,덕양산업,024900,자동차 신품 부품 제조업,1997-06-23,391520.0
313,동원금속,018500,자동차 신품 부품 제조업,1995-11-10,602369.0
314,두산인프라코어,042670,특수 목적용 기계 제조업,2001-02-02,5950766.0
315,디씨엠,024090,1차 철강 제조업,1999-08-18,17109.0
316,디티알오토모티브,007340,일차전지 및 축전지 제조업,1988-09-24,13750.0
317,롯데손해보험,000400,보험업,1971-04-16,7797354.0
318,롯데칠성음료,005300,비알코올음료 및 얼음 제조업,1973-06-21,39654.0
319,만도,204320,자동차 신품 부품 제조업,2014-10-06,960106.0
320,미래에셋생명,085620,보험업,2015-07-08,185086.0
321,미원홀딩스,107590,기타 금융업,2009-03-02,7937.0
322,백산,035150,플라스틱제품 제조업,1999-08-11,296395.0
323,보락,002760,기타 화학제품 제조업,1989-11-30,932693.0
324,사조대림,003960,수산물 가공 및 저장 처리업,1976-09-16,54514.0
325,사조동아원,008040,"곡물가공품, 전분 및 전분제품 제조업",1989-06-24,665106.0
326,삼부토건,001470,토목 건설업,1976-06-26,863001.0
327,삼호,001880,건물 건설업,1977-12-22,201891.0
328,서원,021050,금속 주조업,1996-01-30,1736603.0
329,세방,004360,도로 화물 운송업,1977-05-19,91381.0
330,세아홀딩스,058650,1차 철강 제조업,2001-07-30,679.0
331,세이브존I&C,067830,종합 소매업,2002-07-25,30505.0
332,신송홀딩스,006880,산업용 농·축산물 및 동·식물 도매업,2013-11-21,41060.0
333,신일전자,002700,기계장비 및 관련 물품 도매업,1975-09-30,6163420.0
334,써니전자,004770,반도체 제조업,1987-04-22,1313462.0
335,아이마켓코리아,122900,상품 종합 도매업,2010-07-30,95052.0
336,아이에이치큐,003560,"영화, 비디오물, 방송프로그램 제작 및 배급업",1973-12-18,1041003.0
337,에이블씨엔씨,078520,기타 화학제품 제조업,2011-09-07,101760.0
338,엔씨소프트,036570,소프트웨어 개발 및 공급업,2003-05-22,100915.0
339,영보화학,014440,플라스틱제품 제조업,1997-08-27,58879.0
340,영진약품,003520,의약품 제조업,1973-06-25,1498806.0
341,영풍,000670,1차 비철금속 제조업,1976-06-12,4187.0
342,예스코홀딩스,015360,기타 금융업,1996-12-24,3279.0
343,유니온머티리얼,047400,"내화, 비내화 요업제품 제조업",2009-09-29,3105797.0
344,유성기업,002920,자동차 신품 부품 제조업,1988-10-10,65242.0
345,유유제약,000220,의약품 제조업,1975-11-18,2347414.0
346,유한양행,000100,의약품 제조업,1962-11-01,874663.0
347,이마트,139480,종합 소매업,2011-06-10,295857.0
